Chr	Start	End	gene	endosperm	root	shoot	anther	base	middle	tip	ear	tassel	
1	2008745	2010345	Zm00026ab000420	61.1089	22.3361	18.6704	0.134885	33.2832	1.82594	0.0419254	59.2164	0.548856	
1	2112561	2115114	Zm00026ab000430	0	6.384	0.192813	0	0	0	0	0.0367893	0	
1	2243354	2247298	Zm00026ab000440	1.57635	1.39764	2.17823	0.218961	6.6619	1.46627	0.0170146	5.26366	0.475859	
1	2246746	2248476	Zm00026ab000450	0.101199	0.204766	0.654315	0.0623774	3.07418	0.718641	0	1.17608	2.35359	
1	2253213	2255226	Zm00026ab000460	226.601	174.859	181.329	28.2537	61.7234	26.0035	19.2969	328.315	58.5442	
1	2350105	2351257	Zm00026ab000470	139.814	72.8234	36.0897	7.5386	229.037	72.7176	0	758.416	133.751	
1	2350188	2351257	Zm00026ab000480	150.659	78.4724	38.8892	8.12337	246.803	78.3292	0	817.217	144.126	
1	2353462	2354305	Zm00026ab000490	17.5383	25.8045	903.785	7.29217	1054.52	1917.54	1.43152	28.7223	32.4645	
1	2421481	2423508	Zm00026ab000500	1.16611	8.8166	8.82658	3.7802	13.9231	12.5746	8.62201	1.55982	3.50574	
1	2428515	2436243	Zm00026ab000510	65.6425	89.3757	54.4306	72.2256	45.5673	39.5409	66.2976	52.1486	57.569	
1	2521923	2523850	Zm00026ab000530	475.553	250.783	325.324	1.90413	30.4358	8.22644	1.14888	720.213	15.7032	
1	2526014	2529989	Zm00026ab000540	9.35134	9.41002	7.33215	1.05232	11.2715	3.95779	2.32971	26.6645	5.48496	
1	2578643	2581329	Zm00026ab000560	3.0315	12.6637	25.7493	24.1508	12.6101	54.7679	70.8697	9.27826	33.862	
1	2582218	2596112	Zm00026ab000570	26.5001	20.1154	8.40999	7.11611	14.6598	9.31968	7.06249	22.5089	11.5097	
1	2595770	2596162	Zm00026ab000580	7.46612	4.20891	2.13016	1.09898	1.10534	0.949593	0.512386	4.14412	1.2196	
1	2658914	2665249	Zm00026ab000590	2.13578	0.472402	0.0854936	0.153374	0.0342803	0.0196333	0.0847508	0.425113	1.10319	
1	2660221	2660745	Zm00026ab000600	8.34168	1.12524	0.375195	0.205667	0.137905	0	0.319631	1.43177	4.48869	
1	2700303	2704950	Zm00026ab000610	20.0313	11.693	14.3347	3.74011	12.103	9.92926	6.33968	20.6801	3.12797	
1	2706502	2707395	Zm00026ab000620	2.69425	1.4097	1.26691	3.20061	1.74116	1.49582	2.28998	16.3256	8.35471	
1	2708711	2711319	Zm00026ab000630	5.40498	3.86437	2.01016	3.96268	3.10801	2.06215	4.03919	27.4305	7.13409	
1	2754180	2757020	Zm00026ab000640	20.4402	27.4478	13.8408	12.58	17.3928	13.0592	8.67089	32.4885	13.7919	
1	2761339	2767392	Zm00026ab000650	8.17426	10.8965	5.08793	4.39196	8.38927	3.27738	1.7906	15.541	5.84546	
1	2780777	2782648	Zm00026ab000660	0	4.69151	0	0	0	0	0	0	0	
1	2923293	2930859	Zm00026ab000670	51.1265	40.1433	16.2792	13.6128	47.1935	13.9858	13.9133	31.382	21.1348	
1	2983908	2986929	Zm00026ab000680	0.0289833	1.51174	3.17758	0.589541	2.37181	0	0.0222113	0.393831	0.436161	
1	3028301	3034914	Zm00026ab000690	7.39608	13.4751	21.6924	30.565	23.4911	33.2245	103.901	29.942	26.8553	
1	3067178	3070095	Zm00026ab000700	4.87765	8.40845	5.66192	4.6624	6.97204	6.28805	5.27918	9.59563	5.21515	
1	3106797	3107165	Zm00026ab000710	0	0	0	0	0	0	0	0	0	
1	3107836	3114456	Zm00026ab000720	7.42133	4.02102	2.90066	0.807246	2.94149	1.57821	1.31792	12.6491	2.13554	
1	3114885	3116140	Zm00026ab000730	1.81312	49.1665	143.812	0	878.542	145.072	0	0.448853	2.35326	
1	3144805	3147018	Zm00026ab000740	24.053	50.5189	36.3438	21.2634	74.8199	32.7005	13.0365	51.6482	31.4988	
1	3148924	3150118	Zm00026ab000750	1.5392	0.197741	0.370878	0.406601	0.121172	0.624586	0	1.46771	0.735329	
1	3156320	3163482	Zm00026ab000760	64.3548	34.2591	21.3601	5.53217	37.8576	16.4896	6.31588	73.5317	13.3102	
1	3163845	3166732	Zm00026ab000770	194.616	132.142	104.908	18.3386	58.2735	56.8357	29.7148	108.373	38.5034	
1	3206587	3215198	Zm00026ab000780	7.55662	5.35508	3.854	1.15661	4.10676	3.13809	1.55102	7.82999	2.17055	
1	3215457	3220486	Zm00026ab000790	1.78484	1.19011	11.0286	1.29334	3.51205	7.96955	1.00083	4.15316	1.68343	
1	3220434	3229506	Zm00026ab000800	3.25328	1.34562	14.4916	9.45512	6.86256	20.2095	21.8095	8.02934	4.88211	
1	3221238	3225986	Zm00026ab000810	1.7429	0.845885	16.4251	8.92404	2.82038	15.0748	24.4307	4.05596	2.64092	
1	3231654	3234523	Zm00026ab000820	0.0305183	0	13.4006	18.8675	0	0.541798	9.82282	0.0654773	12.3583	
1	3250343	3251324	Zm00026ab000830	250.588	394.355	116.767	290.939	388.837	294.714	233.357	89.1439	272.84	
1	3255679	3263497	Zm00026ab000840	71.272	42.3048	25.4252	14.6241	23.1441	21.2512	13.5378	51.0116	22.0321	
1	3266468	3269670	Zm00026ab000850	21.4389	21.5053	14.7133	24.7689	10.5786	10.8551	14.5226	25.0814	21.0495	
1	3268803	3277639	Zm00026ab000860	49.1807	35.0649	28.8545	12.3621	16.1358	16.1496	13.1784	50.3026	15.7878	
1	3346762	3358047	Zm00026ab000870	24.7723	6.1277	3.2223	3.63553	3.70468	3.51058	3.18187	9.38822	4.16193	
1	3377311	3378785	Zm00026ab000880	0.653196	191.817	17.6612	1.42747	392.973	80.7735	0.136521	12.8253	6.14697	
1	3400741	3401535	Zm00026ab000890	5.83917	0	35.9576	294.08	47.8569	1114.99	193.474	1.10309	353.296	
1	3409999	3428631	Zm00026ab000900	19.7828	16.4462	8.40032	6.49312	18.8567	8.44199	5.02168	17.0862	12.1371	
1	3435188	3441513	Zm00026ab000910	24.4653	49.9421	16.9973	35.7073	30.7809	24.433	21.009	44.5094	34.5876	
1	3502806	3507180	Zm00026ab000920	2.61261	23.1259	37.7915	9.24268	68.9662	15.4607	0.122738	2.77763	11.4484	
1	3515755	3517063	Zm00026ab000930	0.0669118	0.631819	0.583107	0.0412434	2.29534	0.427643	0.0512778	1.22026	0.366158	
1	3521692	3522747	Zm00026ab000940	0.0829428	0	0	14.545	0.102841	0.1178	0	0.563522	8.3212	
1	3550825	3557684	Zm00026ab000950	46.8581	23.6875	23.7751	0.546959	0.443265	0.417074	0.136985	63.7996	1.13537	
1	3557964	3559485	Zm00026ab000960	41.4056	3.5709	2.68547	2.58942	3.04442	4.37268	2.42559	17.0593	13.3577	
1	3559315	3560763	Zm00026ab000970	20.2799	22.0427	31.9459	10.6001	12.5164	22.5356	18.6915	23.7115	12.4594	
1	3601038	3618059	Zm00026ab000980	15.1768	12.3018	5.42868	7.49934	8.22592	7.10885	6.47882	11.9948	10.4794	
1	3619076	3621017	Zm00026ab000990	2.30019	0.324477	2.56111	6.116	1.90134	5.09245	23.5897	3.51584	5.84112	
1	3622878	3625073	Zm00026ab001000	113.214	80.9906	59.3354	15.0826	73.6529	33.3651	29.71	97.0691	51.8188	
1	3699527	3701297	Zm00026ab001010	4.45109	2.55736	3.93454	0.71638	3.14783	3.54717	3.25948	10.8232	3.33788	
1	3702063	3705629	Zm00026ab001020	57.164	36.4134	78.5051	12.0477	125.985	50.3585	1.71241	26.517	59.1792	
1	3708200	3709194	Zm00026ab001030	54.9733	44.806	26.7503	23.7111	38.4921	28.755	31.2677	42.1482	29.7857	
1	3710280	3711673	Zm00026ab001040	26.9549	47.859	28.6846	6.66131	19.2166	2.94483	0.385209	14.267	14.6128	
1	3711977	3723650	Zm00026ab001050	17.0914	23.2205	11.6087	5.11481	13.8549	11.4551	8.00365	21.7474	11.4652	
1	3793468	3795591	Zm00026ab001060	24.6392	17.1144	21.0169	10.612	60.8787	36.8388	4.12406	18.3732	19.5007	
1	3796059	3798656	Zm00026ab001070	5.765	5.97269	37.6251	11.6474	21.89	35.1212	27.3864	22.616	11.3153	
1	3834384	3839247	Zm00026ab001080	7.41902	17.3355	9.67878	11.3547	17.8395	17.0329	13.1513	13.3033	10.8887	
1	3841651	3844126	Zm00026ab001090	5.27082	9.30504	6.1456	3.04171	7.61721	7.52359	5.62518	6.48915	7.22694	
1	3848058	3850304	Zm00026ab001100	5.22329	20.6995	1.9724	10.7879	1.17606	0.318327	0.851355	8.30739	14.3982	
1	3916189	3921172	Zm00026ab001110	32.652	29.0713	12.1135	9.01238	16.8798	12.1676	13.7908	30.038	21.6859	
1	3940640	3942363	Zm00026ab001130	7.59533	284.822	12.8681	26.1013	38.0688	2.81408	1.05122	4.19658	42.4902	
1	3948700	3949323	Zm00026ab001140	0	0	0	0	0	0	0	0	0	
1	3993841	3994463	Zm00026ab001150	0	0	0	0	0	0	0	0	0	
1	4018229	4028392	Zm00026ab001160	40.1357	19.1415	10.2277	4.88938	8.97521	6.67023	5.94356	17.1668	11.294	
1	4094286	4113999	Zm00026ab001170	0.295454	2.73291	0.790597	0.696959	1.60673	5.58599	3.80659	0.212888	1.66542	
1	4117048	4120392	Zm00026ab001180	21.7594	22.488	11.2622	42.0442	20.5837	35.9895	11.7991	29.775	37.064	
1	4120523	4123376	Zm00026ab001190	0.767236	0.358784	87.9462	4.9372	15.4491	60.5094	21.3433	1.1852	6.53567	
1	4140724	4145712	Zm00026ab001200	1.82584	3.09447	3.32639	2.42398	12.161	28.8863	4.22459	3.79179	6.11656	
1	4149336	4151400	Zm00026ab001210	2.2268	6.00764	44.5822	50.5366	18.8275	85.9934	94.6217	4.03444	20.5028	
1	4151340	4154824	Zm00026ab001220	3.41805	2.44098	11.8624	2.9821	2.52413	7.41562	5.34477	3.41509	1.32948	
1	4156065	4157231	Zm00026ab001230	33.0987	53.3211	22.3435	0.670797	18.3637	7.24848	0.0575172	75.6027	11.7737	
1	4178063	4182260	Zm00026ab001240	11.7465	12.2053	26.4345	10.0053	8.70939	37.722	37.0549	7.06527	9.21001	
1	4182518	4183111	Zm00026ab001250	0.0737269	0	0.0829029	0.181777	0.0609428	0.0523555	0	0	0	
1	4185172	4190416	Zm00026ab001260	0.509327	0.345403	1.50221	0.19557	2.6641	7.53021	0.0127974	1.56451	2.69578	
1	4229797	4234005	Zm00026ab001270	151.525	75.1176	47.1852	11.9417	21.2607	14.9031	11.8728	68.4068	18.7609	
1	4237379	4238185	Zm00026ab001280	0	0	0.183064	0.0668992	0	0.0770736	0	0.232862	0	
1	4241625	4245202	Zm00026ab001290	41.7498	38.701	24.5465	2.98758	17.9078	5.12815	1.76342	40.126	7.09976	
1	4245332	4248865	Zm00026ab001300	11.9956	22.8455	10.3533	37.8402	22.6788	29.8232	12.4027	15.4118	26.82	
1	4258519	4259298	Zm00026ab001310	20.5494	18.4799	28.5996	48.139	18.2856	6.45906	4.04457	98.8185	30.3148	
1	4262270	4276408	Zm00026ab001320	8.83372	7.79925	4.51554	3.23605	5.46879	4.27589	4.18953	10.3669	4.57357	
1	4383194	4387825	Zm00026ab001330	46.0345	17.243	14.9051	1.82406	19.2879	4.04182	2.9127	29.5281	26.7744	
1	4389364	4392399	Zm00026ab001340	13.343	8.35406	6.60159	1.54708	3.62477	6.06414	3.09525	8.10853	2.9338	
1	4393119	4395379	Zm00026ab001350	32.3079	28.9148	18.502	13.2641	21.6143	13.1081	11.385	27.8708	20.704	
1	4395378	4397220	Zm00026ab001360	1.33069	0.641075	1.13559	8.5976	1.4535	1.88991	1.32934	2.19223	11.2912	
1	4396478	4401158	Zm00026ab001370	3.85453	5.65384	3.40323	17.7095	4.2611	3.28199	2.30864	11.6956	26.443	
1	4406577	4409458	Zm00026ab001380	114.545	100.823	56.7198	58.1369	88.327	20.3947	8.40779	120.107	286.813	
1	4416253	4423494	Zm00026ab001390	47.1742	60.2008	37.4636	15.6774	49.9112	35.1487	28.8019	40.3847	33.8198	
1	4497077	4571045	Zm00026ab001400	19.0275	13.2948	5.7853	3.29207	6.24076	3.28444	3.38521	11.8592	5.8091	
1	4575763	4578221	Zm00026ab001420	6.98136	3.04304	3.42447	0.636698	1.29549	2.15	0.682418	7.6676	3.60596	
1	4651368	4652020	Zm00026ab001430	392.065	302.1	498.363	9.7558	28.1617	11.8586	5.34514	1168.91	28.6259	
1	4659440	4664130	Zm00026ab001440	0.168043	1.97295	1.49066	0.18414	2.44626	0.238664	0	0.908019	0.800368	
1	4733114	4735296	Zm00026ab001450	24.0334	11.4199	12.0009	4.62468	6.30142	8.49066	6.64154	12.6255	4.79374	
1	4736053	4738992	Zm00026ab001460	0.148959	0	0.0251247	0.00918157	0.0738776	0.0846236	0	0.394163	0.0815138	
1	4742750	4757448	Zm00026ab001470	3.29519	0.243819	1.13571	1.9503	1.28802	1.20597	0.474913	10.462	2.826	
1	4743094	4746294	Zm00026ab001480	5.66405	0.959671	4.11523	2.56361	4.77239	4.88688	0.828286	40.4782	2.73266	
1	4833819	4838087	Zm00026ab001490	11.9204	14.3179	9.49934	3.23116	6.34285	2.08348	0.550314	39.0087	4.02318	
1	4845585	4847417	Zm00026ab001500	0.76454	61.6641	14.3596	14.9327	19.5516	1.22157	7.06746	46.2025	10.2415	
1	4936889	4939159	Zm00026ab001510	0.115704	2.21976	5.33426	8.17778	0.510084	0.766867	0.73891	13.1844	8.38935	
1	4974532	4977483	Zm00026ab001520	24.5821	70.3485	40.2779	18.3434	107.668	18.2465	1.83041	21.1346	88.5294	
1	4978752	4991871	Zm00026ab001530	48.3768	24.0023	14.0977	9.67004	14.8194	9.33924	8.84821	36.5694	15.8488	
1	5071910	5077712	Zm00026ab001550	17.3575	1.84599	3.2459	9.19176	6.30054	8.58537	11.9833	8.80823	9.12679	
1	5083521	5086563	Zm00026ab001560	3.9577	0.660057	13.189	2.11125	1.30858	4.59896	5.13952	1.39977	2.10012	
1	5127714	5131649	Zm00026ab001570	0.200277	0	12.8741	0.246895	2.5936	0.466172	0	2.45881	0.32473	
1	5133965	5137993	Zm00026ab001580	0.0217393	0	0	0	0	0	0	0	0	
1	5140358	5148874	Zm00026ab001590	3.05945	2.06235	45.0669	3.22645	11.1954	31.7857	11.7309	4.87616	3.31089	
1	5153307	5155639	Zm00026ab001610	19.466	3.39308	76.03	15.5738	10.8926	68.3036	80.8032	11.411	9.22786	
1	5155792	5160489	Zm00026ab001620	9.89975	8.43331	0.115302	5.67111	8.09068	3.10462	2.32172	0.833332	2.76311	
1	5187831	5189346	Zm00026ab001630	0.317765	0	0	0	0	0	0	0	0	
1	5217005	5232786	Zm00026ab001640	5.03371	1.68444	0.826875	5.29374	4.58751	8.64676	6.89004	16.0351	12.8314	
1	5330496	5333213	Zm00026ab001650	101.364	75.5066	60.2147	42.2188	82.9617	80.6771	73.8275	111.037	69.3176	
1	5356174	5358621	Zm00026ab001660	0	7.72224	0.181045	0.0771882	0.680229	0.0254078	0	0	0.0652643	
1	5359568	5361425	Zm00026ab001670	110.38	49.3882	53.75	11.9714	26.3804	34.2292	17.9006	64.7976	20.0784	
1	5363898	5369565	Zm00026ab001680	10.7862	14.2859	9.92619	11.3109	14.9322	9.03127	3.95535	14.157	11.2116	
1	5374942	5379973	Zm00026ab001700	0.556996	21.7031	6.74271	5.56291	42.171	22.2799	1.09381	0.417019	13.6288	
1	5393803	5395780	Zm00026ab001710	0	0	0	0.109176	0	0	0.0509019	0	0	
1	5411160	5414031	Zm00026ab001730	13.373	14.6454	4.63809	12.3126	6.18879	6.80024	15.5653	4.03495	8.12186	
1	5424891	5430771	Zm00026ab001740	1.60848	11.2572	5.9619	10.6304	6.72172	67.8302	57.7921	1.39531	12.3065	
1	5543594	5546999	Zm00026ab001750	3.65163	8.27907	6.34711	29.3318	14.3057	43.0056	83.0066	10.0047	12.2194	
1	5619662	5621664	Zm00026ab001760	81.1596	78.9044	33.5343	90.0108	94.6297	58.1615	59.1972	41.8433	65.526	
1	5630857	5632305	Zm00026ab001770	0.362682	0.815391	3.51745	1.0805	1.5989	0.729725	1.13492	15.3898	1.92955	
1	5646151	5646774	Zm00026ab001780	0	0	0	0	0	0	0	0	0	
1	5675479	5679179	Zm00026ab001790	81.4226	12.014	177.797	43.018	99.5818	125.338	89.2308	55.1844	134.988	
1	5677808	5680207	Zm00026ab001800	63.0266	16.3605	423.04	82.7248	159.325	330.934	240.327	58.229	148.134	
1	5684335	5686645	Zm00026ab001810	2.02767	5.52152	3.79294	11.0265	20.9901	11.1962	8.00185	4.71629	3.75048	
1	5690925	5698255	Zm00026ab001820	58.4833	39.6896	22.8186	7.08077	14.5768	15.9759	7.34311	24.3775	17.8542	
1	5701410	5707754	Zm00026ab001830	15.9507	13.5188	18.4133	6.34748	11.7586	17.096	12.9961	17.4395	12.9299	
1	5751794	5755649	Zm00026ab001840	41.9085	42.3658	47.5203	5.9644	80.5206	40.4951	10.0266	35.2593	14.8124	
1	5756881	5761021	Zm00026ab001850	9.2537	6.9047	3.83514	4.1198	1.92321	1.90756	2.9663	19.4984	7.74528	
1	5794023	5794680	Zm00026ab001860	1.26456	3.59119	2.54454	1.64096	3.41094	2.64674	2.44824	4.09349	5.34175	
1	5796664	5801768	Zm00026ab001870	21.7725	10.5151	4.19614	24.2336	5.20486	2.80228	1.69614	13.2887	159.65	
1	5856858	5858631	Zm00026ab001880	8.34403	10.4342	1.23527	7.01474	4.10158	7.73097	22.5129	1.64191	11.0324	
1	5860719	5867237	Zm00026ab001890	15.4847	12.8982	9.15163	1.54037	32.7072	29.0192	2.17255	23.4311	9.95021	
1	5867501	5871323	Zm00026ab001900	4.61651	1.95732	54.4547	3.05031	14.0994	40.8039	13.809	4.55504	4.72238	
1	5946829	5947983	Zm00026ab001910	0	1.63671	0.511629	1.51913	2.50736	2.53102	0.232459	0.325402	1.14119	
1	5960072	5961786	Zm00026ab001930	6.69037	94.8876	33.265	57.3717	145.011	58.898	4.30524	13.222	248.547	
1	5967329	5971974	Zm00026ab001940	14.3183	8.01909	14.6535	41.5714	20.305	23.2876	34.8543	9.88271	37.5088	
1	6030533	6031730	Zm00026ab001950	0.146223	10.191	433.58	261.534	353.086	1187.64	825.025	33.3853	188.84	
1	6067278	6068225	Zm00026ab001960	6.51364	4.23745	1.45447	7.06167	0.916456	0.984151	13.028	0.79291	3.24421	
1	6069857	6072331	Zm00026ab001970	7.3609	9.48384	5.71035	3.90456	11.2622	7.43867	2.63066	8.80755	7.39124	
1	6073699	6076561	Zm00026ab001980	0.0305929	2.54486	1.26422	0.169713	3.00929	0	0	2.15509	0.13951	
1	6118552	6120531	Zm00026ab001990	0	0.0397812	0.0248709	0	0.0731313	0.0314133	0	0.094909	0	
1	6162035	6185517	Zm00026ab002000	5.20311	3.46657	2.81106	2.4289	3.01371	3.19163	2.54679	6.01112	2.49349	
1	6196555	6197404	Zm00026ab002010	4.12177	25.2054	10.631	1.96896	32.1541	14.1593	1.53987	7.92211	13.5802	
1	6218470	6222033	Zm00026ab002020	63.7738	1.72385	3.61318	1.87836	4.93637	1.64047	0.470838	6.24817	1.49053	
1	6221987	6227374	Zm00026ab002030	25.6114	7.88691	6.48457	2.19938	5.95271	3.3939	0.62289	22.6006	4.14392	
1	6307168	6310807	Zm00026ab002040	11.1289	6.75144	7.434	0.355962	20.9443	1.7002	0.0368806	10.4371	7.18732	
1	6310787	6312367	Zm00026ab002050	0.1108	9.91435	1.29262	0.0341478	2.72473	1.02287	0	0.435825	0.656854	
1	6314471	6321748	Zm00026ab002060	6.53477	16.8345	5.80201	8.73089	22.9197	13.067	4.22859	7.86657	11.2449	
1	6324622	6327302	Zm00026ab002070	333.101	229.352	242.704	74.1751	126.639	174.74	102.95	265.116	111.929	
1	6389327	6391736	Zm00026ab002080	12.9201	19.8224	11.9944	8.05334	20.6986	25.202	10.4305	18.0382	14.4354	
1	6431223	6432908	Zm00026ab002090	29.4296	227.868	117.488	4.9953	417.438	423.307	6.56894	14.3782	47.9254	
1	6501838	6562484	Zm00026ab002100	4.92551	5.57369	0.558644	12.9528	2.28791	3.12289	10.8066	1.44394	11.0565	
1	6563434	6564966	Zm00026ab002120	0	0.231214	0.0803071	0.105651	0.0472277	0.0811459	0.153248	0.040861	0.0521093	
1	6679358	6680836	Zm00026ab002150	0.0592208	0.0532568	0.0665914	0.0365028	0.195808	0	0	0.338823	0.270059	
1	6688823	6689649	Zm00026ab002160	13.0269	39.1929	51.3582	0.0652813	0.700363	0.0752096	0	75.0619	0.434674	
1	6690668	6696254	Zm00026ab002170	5.66725	1.45212	5.04607	1.81183	3.50532	8.00441	6.34343	4.33333	2.33774	
1	6696570	6700989	Zm00026ab002180	15.6944	21.9014	18.6839	2.47341	4.611	4.42565	2.69553	33.056	5.59365	
1	6731614	6736977	Zm00026ab002200	42.6998	57.8636	32.3843	19.5358	37.2866	53.6003	6.26302	50.3081	27.2161	
1	6736226	6739491	Zm00026ab002210	6.57041	13.5298	8.88087	7.99235	8.70086	13.0643	17.726	12.1022	6.44498	
1	6768633	6769690	Zm00026ab002220	15.481	3.27575	2.30396	8.95541	6.56938	6.84887	1.14197	17.4362	13.3265	
1	6771200	6776226	Zm00026ab002230	101.126	100.719	44.7578	17.8169	59.8629	29.8186	23.0329	72.2658	54.5057	
1	6777139	6781246	Zm00026ab002250	2.92101	1.7736	8.13346	1.97788	2.31758	21.7876	7.56518	6.19843	3.2669	
1	6779175	6783167	Zm00026ab002260	1.10773	0.936996	10.7849	2.74468	1.34175	32.8126	10.3382	2.48646	2.35069	
1	6786785	6796467	Zm00026ab002270	45.0104	31.9606	15.1222	8.26848	9.35002	10.284	9.76719	23.1786	11.1043	
1	6805015	6805742	Zm00026ab002290	0	0.108196	0	0.296635	0.497253	1.367	0.0922014	0	0	
1	6813512	6816181	Zm00026ab002300	0.196826	0.295007	667.685	781.355	49.9886	557.165	3067.5	6.09977	179.065	
1	6870396	6872629	Zm00026ab002310	9.80166	0	0.0881725	0.72499	0.259266	1.19719	1.02156	0.112157	3.21822	
1	6885638	6889944	Zm00026ab002320	0	0	0	0.0501394	0.0168099	0	0	0.0145437	3.30143	
1	6971800	6973071	Zm00026ab002330	0.482007	0.433465	0.174213	0.381988	0.626101	0.635675	0.211077	0.664811	1.03622	
1	6975730	6981297	Zm00026ab002340	0	0.353658	0.495273	0	0.0780173	0.0335121	0	1.63687	0	
1	6990699	6994526	Zm00026ab002350	57.3964	66.925	39.5383	14.0681	52.3141	33.7883	22.9353	54.0818	41.246	
1	7000589	7011565	Zm00026ab002360	0.183521	1.52123	0.33646	0.565599	0.309994	0.283312	0.158986	0.901622	0.538524	
1	7012911	7014278	Zm00026ab002370	0	0	0.107992	0	0	0	0	0	1.95621	
1	7019607	7024195	Zm00026ab002380	0	0.0171643	0.0214619	0.117646	0.0315537	0	0	0.01365	0.0522228	
1	7235922	7238333	Zm00026ab002390	0.798892	0.0326562	1.53123	17.8616	2.04113	65.9375	58.4957	0.0259701	5.72962	
1	7290632	7291548	Zm00026ab002400	7.73675	2.96342	146.739	206.56	75.2423	312.382	785.635	12.364	50.8745	
1	7292540	7293801	Zm00026ab002410	2.39443	2.40295	2.16566	1.49728	1.4916	0.911783	4.2284	2.48177	3.07001	
1	7320815	7322677	Zm00026ab002430	0	0.0422796	0.0264328	0.0289789	0.0582931	0	0	0.0336231	0	
