Chr	Start	End	gene	root	shoot	anther	base	middle	tip	ear	tassel		
1	2077918	2085094	Zm00024ab000540	1330.27	71.2089	106.609	75.8296	57.5603	30.4456	82.9796	96.0171		
1	2153780	2154130	Zm00024ab000550	0	0	0	0	0	0	0	0.596715		
1	2160132	2162020	Zm00024ab000560	2500.28	228.703	3.47439	88.4705	9.70356	5.57136	1012.15	30.3434		
1	2164071	2168046	Zm00024ab000570	96.3949	5.07227	1.4535	15.021	6.44984	1.95615	32.778	4.60053		
1	2219807	2222187	Zm00024ab000590	121.056	28.8675	25.2973	8.73909	26.7549	58.5009	13.0392	36.7111		
1	2223001	2236970	Zm00024ab000600	198.173	7.19845	5.41314	13.4004	11.9653	5.05542	35.6475	13.1635		
1	2236643	2237022	Zm00024ab000610	24.1126	2.10603	4.36206	0.953055	0.996948	1.28816	7.73768	2.02098		
1	2322289	2328646	Zm00024ab000630	17.9525	1.20117	0.507324	1.58456	1.5217	1.00942	5.30469	1.142		
1	2323594	2324668	Zm00024ab000640	17.2906	1.06351	0.395902	0.459401	0.108434	0.0505945	7.60219	0.0649448		
1	2372082	2376697	Zm00024ab000650	112.862	15.564	2.10604	8.81579	15.24	8.66031	21.4139	5.39952		
1	2378026	2383082	Zm00024ab000660	75.0645	6.62859	31.5864	7.89075	6.02769	2.92004	28.1312	14.3027		
1	2439117	2440977	Zm00024ab000670	564.946	0.0245733	0.0240728	0	0	0.0292257	0	0		
1	2462971	2463607	Zm00024ab000680	2.46588	5.06127	0.457138	0.103371	0.182992	0	0	1.86321		
1	2464809	2465737	Zm00024ab000690	21.4169	1.8952	0	0.779679	0.627374	0.468367	1.44288	1.57818		
1	2476813	2478015	Zm00024ab000700	756.656	64.9851	23.5542	92.1481	98.4466	24.821	149.992	79.2172		
1	2512866	2513832	Zm00024ab000710	3.24874	0.425624	1.11188	0.476662	0.210952	0.0562452	0.0447156	0.252694		
1	2592630	2600561	Zm00024ab000730	414.738	16.1373	15.1676	50.7595	35.773	16.556	38.421	24.755		
1	2631728	2634895	Zm00024ab000740	10.1643	1.16204	0.699992	2.15126	0.0551923	0.10301	0.300278	1.02476		
1	2639566	2646066	Zm00024ab000750	266.344	24.0719	42.3187	27.0541	40.6753	73.46	29.5317	37.249		
1	2675497	2678157	Zm00024ab000760	148.458	4.305	2.46641	11.5313	10.0752	4.58863	11.4397	8.18582		
1	2681309	2682057	Zm00024ab000770	2.09715	0	0.0299062	0	0	0.0726156	0	0.0466059		
1	2683906	2690482	Zm00024ab000780	37.7346	2.11376	0.769704	2.30271	1.04567	0.628489	11.8537	2.27163		
1	2690899	2692174	Zm00024ab000790	609.758	42.8638	0.0351093	258.926	435.091	74.4227	0	0.49243		
1	2698670	2700828	Zm00024ab000800	736.151	39.6095	27.0478	82.0424	70.647	30.1546	61.986	45.9347		
1	2701357	2702602	Zm00024ab000810	48.955	2.45905	2.57076	1.21548	0.935523	0.523812	5.27486	3.05373		
1	2726680	2734264	Zm00024ab000820	373.276	24.8702	4.9938	47.5907	26.7365	9.94923	93.5888	15.6061		
1	2734613	2737514	Zm00024ab000830	1170.31	91.5879	14.9203	77.9073	54.7684	31.6177	100.888	45.4692		
1	2773049	2781562	Zm00024ab000840	47.0762	3.74377	0.773494	3.77807	3.63499	1.65454	6.91718	2.87003		
1	2782230	2792064	Zm00024ab000850	2.84819	7.0189	0.234588	1.49303	2.63415	0.926302	2.1631	0.645981		
1	2792227	2801226	Zm00024ab000860	16.6385	21.4885	5.16687	4.0862	8.62266	17.4921	9.68576	6.43467		
1	2793003	2797716	Zm00024ab000870	14.0505	28.0895	2.89382	1.61336	3.63497	17.3701	5.18256	3.52484		
1	2804072	2806891	Zm00024ab000880	2.69221	12.4057	47.6749	0	0	3.78024	0.0306667	6.82064		
1	2835503	2836478	Zm00024ab000890	4448.08	87.5729	297.439	209.754	200.527	133.047	118.201	303.297		
1	2887678	2895501	Zm00024ab000900	459.578	22.9794	15.8178	22.168	19.2154	9.7183	59.4108	28.3447		
1	2897900	2901100	Zm00024ab000910	228.18	13.1793	25.7097	17.6601	12.8911	12.2932	25.6117	21.9632		
1	2900234	2920827	Zm00024ab000920	140.838	11.9846	4.09839	8.24771	6.42574	4.50822	26.2602	8.26505		
1	2944863	2946698	Zm00024ab000930	0	0	0	0	0	0	0	0		
1	2956164	2966768	Zm00024ab000940	117.406	5.79129	2.50928	3.81859	5.23201	2.59509	19.0329	5.79986		
1	2987073	2988481	Zm00024ab000950	2140.43	30.6063	1.04924	394.898	159.069	74.539	9.17584	9.71175		
1	3064675	3065831	Zm00024ab000960	0.905078	43.0037	127.739	3.52856	55.6132	169.584	0.14949	278.75		
1	3074283	3092931	Zm00024ab000970	154.221	7.85069	5.93475	15.3911	10.2587	4.27699	22.7434	12.0977		
1	3087074	3087508	Zm00024ab000980	1.20365	0	0.102987	0.45412	0.133984	0	0.596414	0		
1	3099466	3105786	Zm00024ab000990	483.207	14.2272	20.7767	25.8608	24.5682	11.8785	66.2657	34.0408		
1	3256754	3261149	Zm00024ab001000	195.631	35.5777	3.81142	82.7886	43.7322	9.40922	2.6361	6.68616		
1	3289610	3289950	Zm00024ab001010	9.21269	0.134108	1.44514	0.675853	0.512754	0.318998	0	1.3308		
1	3299282	3305571	Zm00024ab001020	212.931	18.7141	1.15738	2.94691	0.518896	0.311289	101.528	1.72597		
1	3305825	3307039	Zm00024ab001030	14.8673	0.602218	4.00061	1.40908	3.93351	0.358118	8.96829	3.10292		
1	3307212	3308592	Zm00024ab001040	104.263	12.5503	4.29829	7.93888	8.27189	8.46753	10.8648	10.5406		
1	3349374	3368381	Zm00024ab001050	110.458	5.83907	3.64844	6.39317	7.00942	4.66262	13.4056	10.1263		
1	3369963	3371996	Zm00024ab001060	2.8316	3.32752	1.9162	0.906454	2.9514	17.4612	4.40053	5.59486		
1	3370206	3371962	Zm00024ab001070	2.68201	3.70897	2.09081	0.993145	3.21768	17.9233	5.02047	6.01996		
1	3373731	3374965	Zm00024ab001080	1028.52	65.1527	14.5644	121.378	54.3425	26.9303	88.4407	82.6481		
1	3450476	3452258	Zm00024ab001090	27.6036	3.20604	1.80907	5.57653	3.39957	1.96753	13.1684	5.65808		
1	3453012	3456575	Zm00024ab001110	353.319	88.5491	31.0605	190.235	81.8727	18.6715	38.205	77.1909		
1	3459147	3460184	Zm00024ab001120	446.159	20.971	16.5516	59.7892	31.556	22.3215	28.7433	33.5626		
1	3460980	3462191	Zm00024ab001130	341.93	28.9403	1.4046	60.17	3.17383	4.01636	8.41967	5.15553		
1	3462169	3467497	Zm00024ab001140	402.885	16.189	7.85609	19.5417	20.4631	10.0838	53.1635	22.8745		
1	3508504	3511537	Zm00024ab001150	155.489	23.9582	7.79635	82.9278	39.6878	13.7048	17.4015	18.3053		
1	3510705	3513337	Zm00024ab001160	60.0545	18.2281	3.42845	7.31499	11.101	10.0495	8.19474	7.84862		
1	3526642	3531424	Zm00024ab001170	207.552	12.2383	5.61516	15.0198	23.1889	9.05159	18.596	12.8888		
1	3533324	3548177	Zm00024ab001180	22.7003	1.81181	1.21544	2.31845	2.0992	1.19184	2.27058	2.31011		
1	3547998	3550018	Zm00024ab001190	129.796	2.48907	18.6868	0.765668	0.475839	0.349856	4.1507	14.5435		
1	3626117	3631064	Zm00024ab001210	241.9	12.9623	9.13555	24.3268	11.7791	8.33754	28.6898	25.0873		
1	3672750	3675184	Zm00024ab001220	1577.86	5.11773	6.76132	61.061	3.71001	1.86509	0.781339	12.4292		
1	3675189	3675823	Zm00024ab001230	77.5075	0.216052	0.211651	1.55545	0.0917844	0.0428261	0	0.109946		
1	3750458	3760596	Zm00024ab001240	227.169	10.3626	8.24056	11.9953	7.17114	4.51678	23.746	15.9132		
1	3790626	3795481	Zm00024ab001260	0.431291	0.0188348	0.0184512	0	0	0	0.0534267	0.0143772		
1	3841151	3844117	Zm00024ab001270	123.97	2.72813	3.51813	5.2598	15.5186	17.1765	1.51566	7.63571		
1	3871295	3874608	Zm00024ab001280	215.028	9.38353	72.7688	14.4252	20.5591	11.4391	26.0823	37.341		
1	3874901	3878023	Zm00024ab001290	5.53263	69.9436	1.99396	4.37507	22.8149	20.1848	1.24611	1.78842		
1	3877023	3877727	Zm00024ab001300	4.08473	49.2337	1.36623	1.91471	10.7059	6.28754	0.368	1.43592		
1	3880636	3886015	Zm00024ab001310	30.2669	3.34907	1.64043	5.75247	17.837	2.67902	1.98518	5.09343		
1	3889955	3891977	Zm00024ab001320	8.7998	13.4616	3.69823	2.71787	14.2755	26.6703	1.2397	6.53982		
1	3890999	3895061	Zm00024ab001330	23.7116	30.9187	2.36512	3.45201	14.4883	13.5136	5.7256	4.98315		
1	3896540	3903269	Zm00024ab001340	40.1443	20.8133	2.64936	4.55942	13.8347	16.3693	4.18907	6.12572		
1	3903578	3904183	Zm00024ab001350	0	0	0.0739266	0	0	0	0	0		
1	3906596	3911619	Zm00024ab001360	10.7865	3.58638	0.749036	1.58589	15.3886	0.584596	0.602468	3.37683		
1	3957483	3961690	Zm00024ab001380	628.604	37.8084	8.16569	35.0753	9.95854	8.08469	78.7013	27.2593		
1	4004911	4008438	Zm00024ab001390	315.518	18.5296	2.61584	30.3294	11.5476	4.5093	45.4829	8.41033		
1	4004916	4005599	Zm00024ab001400	456.226	27.3784	5.96017	37.2558	11.9293	6.44082	70.1702	13.0139		
1	4008718	4012050	Zm00024ab001410	200.685	7.91682	48.6907	17.0397	26.7022	10.3785	21.5357	34.2899		
1	4039914	4040641	Zm00024ab001420	403.479	17.0235	4.73841	16.1001	4.44328	0.896524	92.182	24.9821		
1	4043442	4057810	Zm00024ab001430	87.9084	4.60046	3.55116	6.3996	5.71514	3.22875	13.4032	5.85724		
1	4155431	4160080	Zm00024ab001440	140.074	18.7644	13.1701	22.8271	5.46482	1.77788	36.5913	37.7079		
1	4161615	4164657	Zm00024ab001460	43.3599	6.74017	1.29555	5.32319	3.37096	2.68103	7.92899	4.2674		
1	4165560	4167670	Zm00024ab001450	257.825	14.146	11.9586	23.332	19.4921	8.39927	19.6229	21.1993		
1	4168769	4173424	Zm00024ab001470	45.7127	3.48679	62.7106	4.18618	6.31525	2.58161	12.5652	28.67		
1	4178839	4181813	Zm00024ab001490	1243.41	32.8494	23.484	43.072	31.3847	7.0843	151.304	215.947		
1	4190049	4197103	Zm00024ab001500	479.467	29.0591	12.373	42.3411	26.0601	16.5634	23.5292	35.5263		
1	4228310	4297317	Zm00024ab001510	113.055	5.68025	3.58679	6.10306	3.62369	2.24822	24.9748	7.00959		
1	4328578	4331100	Zm00024ab001520	28.6386	2.44696	4.42135	3.81043	2.12527	1.6168	6.92388	5.94941		
1	4350848	4351391	Zm00024ab001530	2834.98	289.979	6.50581	69.9629	11.7316	14.747	983.153	25.3467		
1	4359079	4363790	Zm00024ab001540	16.6677	1.44608	0.803386	4.31809	0.970972	0.380909	1.28472	2.5929		
1	4393594	4395800	Zm00024ab001550	84.5759	10.0911	4.14096	5.8478	7.15665	7.41782	8.5422	7.11759		
1	4414308	4422566	Zm00024ab001560	14.1373	6.25693	5.23447	11.146	10.536	4.1159	18.4813	8.71533		
1	4414668	4417874	Zm00024ab001570	28.4896	12.4559	2.57733	27.0617	25.9793	6.48701	35.4603	6.03022		
1	4477181	4481615	Zm00024ab001590	137.479	7.09422	4.64157	7.15636	4.79012	1.16504	34.1728	5.24995		
1	4484520	4486914	Zm00024ab001600	50.5005	4.26758	0.692101	5.80117	14.6985	2.36178	40.1708	1.69073		
1	4505069	4506570	Zm00024ab001610	946.432	8.7382	18.7907	17.9962	3.84156	25.5651	38.346	25.4488		
1	4578353	4580615	Zm00024ab001620	19.782	4.82974	9.80917	0.11639	0.489341	1.2017	6.97419	8.3606		
1	4690760	4693834	Zm00024ab001630	1167.22	49.3968	74.9208	339.205	49.7633	18.7488	11.6572	240.608		
1	4694729	4708222	Zm00024ab001640	238.707	11.1413	9.91837	20.4145	11.4458	5.74161	37.847	20.8221		
1	4715748	4716497	Zm00024ab001660	3.14153	0.121949	0	0	0.0388554	0	0.8648	0		
1	4804142	4809718	Zm00024ab001670	13.3314	0.852791	5.03663	2.31416	6.57866	7.06074	3.84562	6.52213		
1	4811290	4814197	Zm00024ab001680	25.7473	7.06093	1.918	2.85309	2.71574	2.99252	4.43106	2.78494		
1	4871999	4876447	Zm00024ab001690	0.117687	16.7958	0.0402783	4.82496	5.91477	0.953552	1.28291	0.172617		
1	4889184	4895836	Zm00024ab001700	26.5611	75.1642	2.49821	11.2385	31.1564	28.0407	2.8727	5.51977		
1	4900106	4902329	Zm00024ab001710	26.0146	97.8157	8.27904	14.4337	40.8558	89.7396	11.4516	10.7674		
1	4902659	4903351	Zm00024ab001720	377.013	0.13198	2.84441	2.47047	0.630769	5.29764	0.436768	8.21064		
1	4913713	4914350	Zm00024ab001740	1.64134	0.143357	0.140437	0.206418	0.456764	0	0.542194	0.109429		
1	4934639	4936154	Zm00024ab001750	0.345375	0	1.09339	0	0	0.0358767	0.0285224	0.782893		
1	4963786	4979595	Zm00024ab001760	16.2607	0.918379	5.40371	4.70011	7.21811	10.8159	15.1928	14.9788		
1	5116358	5119343	Zm00024ab001770	673.072	43.181	17.1636	52.0428	39.4572	32.4222	58.9083	48.1181		
1	5123461	5125923	Zm00024ab001780	66.3254	0.0557015	0.018189	0	0.165644	0.0441649	0	0.382668		
1	5127013	5128805	Zm00024ab001790	531.618	56.0478	12.8177	48.9908	27.3375	14.257	64.5827	28.0547		
1	5131240	5135914	Zm00024ab001800	171.636	12.9612	15.1935	35.0365	21.4307	6.35218	16.9445	15.2549		
1	5142701	5147091	Zm00024ab001810	244.027	14.0598	4.58095	67.362	105.483	8.34231	0.452981	17.7043		
1	5305359	5306158	Zm00024ab001820	0	0	0	0	0	0	0	0		
1	5321448	5324493	Zm00024ab001840	213.922	5.22468	2.3091	7.09059	4.5157	5.10679	2.24291	7.47206		
1	5366018	5371113	Zm00024ab001850	327.602	13.4519	13.6965	4.96181	57.0708	55.1843	2.95281	19.9473		
1	5421328	5424070	Zm00024ab001860	115.96	4.8015	9.88921	13.8152	22.3953	32.2805	16.2524	9.68459		
1	5451070	5462841	Zm00024ab001870	0	0.00388472	0	0.00279678	0	0.0254112	0	0.00593065		
1	5470897	5472884	Zm00024ab001880	865.447	49.7335	31.8757	180.567	71.0069	33.5828	81.5209	63.9157		
1	5484683	5486058	Zm00024ab001890	19.0257	3.48964	0.944175	4.40259	4.6169	16.7199	13.0097	2.02952		
1	5519471	5523219	Zm00024ab001910	136.728	171.677	48.2111	66.2689	78.3767	69.5569	67.5185	37.8222		
1	5521845	5524127	Zm00024ab001920	161.686	467.395	41.3851	108.203	184.027	164.883	69.4719	55.5192		
1	5528047	5530354	Zm00024ab001930	24.7275	1.4068	2.28074	10.7558	5.53033	2.3212	1.68613	1.84521		
1	5533781	5539262	Zm00024ab001940	404.057	34.6444	30.9641	33.5003	23.4217	13.3244	34.5873	33.0994		
1	5584575	5591077	Zm00024ab001950	83.8964	15.5238	5.95214	10.0548	12.7581	9.87753	24.0702	12.7918		
1	5594954	5598976	Zm00024ab001960	585.018	43.5995	3.77505	79.2362	101.68	26.113	25.9784	8.30394		
1	5599353	5607886	Zm00024ab001970	10.0006	0.195592	0.968538	0.266198	0.348305	0.340968	1.79871	4.63856		
1	5607699	5612398	Zm00024ab001980	177.351	4.38822	26.5508	7.6355	8.36424	2.70788	10.8744	153.32		
1	5667688	5669565	Zm00024ab001990	100.089	1.58281	3.95991	2.03363	3.32071	1.59287	1.10518	8.66189		
1	5670161	5677962	Zm00024ab002000	86.0343	6.60291	1.65945	15.2381	29.4553	2.94532	26.3807	7.70459		
1	5678428	5682474	Zm00024ab002010	4.14006	22.7129	1.43354	5.70287	17.3683	8.1577	2.75659	3.82977		
1	5711240	5711881	Zm00024ab002020	8.97113	0.997248	0.558249	3.0257	2.26959	1.48257	3.16554	2.6643		
1	5712308	5714525	Zm00024ab002030	0.944252	0.123709	0.0201981	0.341409	0.604378	0.110348	1.26718	0.0314768		
1	5718331	5719377	Zm00024ab002040	15.0025	0.524137	0.256731	1.32072	0.946335	0.155843	0.578185	1.73372		
1	5719047	5719433	Zm00024ab002050	23	0.531755	0.463044	0.765668	0.527108	0.210811	0.89385	1.89422		
1	5720583	5720923	Zm00024ab002060	3.0709	0.134108	0.525507	0.579303	0.170918	0.159499	0	0.92132		
1	5733588	5733928	Zm00024ab002070	3.0709	0.134108	0.525507	0.579303	0.170918	0.159499	0	0.92132		
1	5744942	5746367	Zm00024ab002080	2186.88	49.8839	86.1903	138.991	149.161	27.4997	9.33935	352.456		
1	5760974	5765677	Zm00024ab002090	116.316	19.1858	22.7474	25.2317	26.0874	28.7266	16.0863	46.6402		
1	5820473	5821765	Zm00024ab002100	6.88399	463.623	60.3563	224.329	587.722	701.632	32.7728	144.626		
1	5827691	5828589	Zm00024ab002110	56.2027	1.16998	2.39196	1.20855	1.68561	17.0609	0.192392	2.64041		
1	5830760	5833205	Zm00024ab002130	98.253	5.16015	7.52763	14.5101	10.9013	5.55899	9.40461	10.3753		
1	5834565	5837420	Zm00024ab002140	10.4498	0.816624	0.0156861	2.52461	0.081629	0.504661	1.19606	0.0488905		
1	5844601	5848156	Zm00024ab002150	0.883444	0.0128602	0.044094	0.0185173	0	0.0611801	0	0.0785327		
1	5852936	5854878	Zm00024ab002160	425.904	16.3106	9.93751	55.6975	42.52	7.99181	92.4441	29.7336		
1	5855577	5855916	Zm00024ab002170	466.609	19.3684	18.1174	65.2664	49.6263	5.35893	111.534	34.4971		
1	5922309	5945075	Zm00024ab002180	35.0714	2.60321	1.77687	3.35643	3.1091	2.0521	6.90753	3.44064		
1	5948812	5952018	Zm00024ab002190	36.5711	7.38654	0.866096	26.9077	6.04276	0.915813	6.63364	2.91715		
1	5952043	5957799	Zm00024ab002200	127.145	6.03709	6.54055	9.82507	10.3567	2.18709	35.8493	10.5384		
1	5985333	5988803	Zm00024ab002210	39.2201	4.96703	0.542085	16.4287	8.38732	1.37892	16.6432	7.64331		
1	5988996	5990460	Zm00024ab002220	183.702	1.56078	0.336378	1.05626	2.32735	0.0742514	1.12158	1.00077		
1	5992557	5999919	Zm00024ab002230	173.439	7.12391	8.74025	20.9311	27.7128	5.14861	8.67971	14.5975		
1	6002536	6005192	Zm00024ab002240	2272.3	230.057	36.4196	219.103	82.6317	58.4627	315.911	150.549		
1	6069420	6070625	Zm00024ab002260	94.8623	5.17601	8.33954	15.4518	15.8515	6.83246	15.7041	10.8544		
1	6076571	6077896	Zm00024ab002270	1980.04	93.7208	4.62861	227.635	278.295	36.1774	11.8046	19.9812		
1	6093439	6144348	Zm00024ab002280	36.7314	1.21626	4.64142	1.04766	1.24099	4.70229	1.17124	10.2392		
1	6173670	6174074	Zm00024ab002300	0	0	0	0	0	0.268588	0	0		
1	6245547	6246528	Zm00024ab002310	166.087	17.8127	0	4.15737	0.178054	0.221544	30.8228	0.426572		
1	6247556	6253437	Zm00024ab002320	18.3371	5.4151	0.677857	2.85466	4.12203	3.42128	4.11669	3.02669		
1	6253654	6258238	Zm00024ab002330	135.037	12.2681	2.03234	7.61159	4.06774	2.52076	38.8736	6.34964		
1	6298726	6303738	Zm00024ab002340	544.32	33.2696	11.5774	40.2532	32.5597	8.51695	39.2981	26.1617		
1	6303050	6305855	Zm00024ab002350	136.681	9.80298	3.50445	14.3264	12.7845	16.3691	8.19803	8.07383		
1	6338574	6339492	Zm00024ab002360	0.569736	0.0995232	0.755595	0.0716511	0.0634201	0.177549	0.235256	0.0759691		
1	6341158	6342206	Zm00024ab002380	17.4696	2.57209	1.38797	3.7663	3.667	1.39991	11.4592	1.93008		
1	6343830	6348593	Zm00024ab002390	818.793	43.4751	15.0695	77.444	40.3051	18.4494	94.0225	66.8773		
1	6349552	6351999	Zm00024ab002400	20.9606	2.58731	1.81174	5.29899	3.46413	3.72148	7.52461	3.86439		
1	6351688	6355346	Zm00024ab002410	13.6657	23.8841	12.0539	1.3497	21.6232	33.7944	1.90261	16.5714		
1	6358490	6368172	Zm00024ab002430	347.743	19.3706	6.16727	18.7961	13.6363	7.8104	43.365	16.2949		
1	6424220	6426936	Zm00024ab002440	6.55207	1158.88	198.209	32.8631	149.505	1169.32	3.69219	262.38		
1	6440583	6443315	Zm00024ab002450	67.6277	2.61033	2.09818	2.7587	39.6338	30.3887	0.0949286	6.04149		
1	6452814	6457652	Zm00024ab002460	0.108202	0.00945049	0.69435	0	0	0.0112397	0	12.3645		
1	6538672	6544119	Zm00024ab002470	6.53524	1.16678	0	1.71024	0.181867	0.02995	0.936549	0		
1	6558213	6561704	Zm00024ab002480	652.536	37.6769	16.6843	64.8009	28.7994	17.4678	43.5124	41.1956		
1	6580457	6581579	Zm00024ab002490	0	0	0.0797854	0	0	0	0	1.86507		
1	6629734	6631892	Zm00024ab002510	4.85028	1.33444	4.19152	0	0.215963	10.9584	0	3.52473		
1	6652001	6653165	Zm00024ab002520	1469.64	3.10107	0.423	3.39128	0.350199	1.44726	0.371159	2.33717		
1	6652183	6652540	Zm00024ab002530	2602.58	5.62056	0.813399	5.51794	0.732609	2.58272	0.483128	3.99782		
1	6676363	6677085	Zm00024ab002540	0	0	0	0.0910753	0	0.075227	0.65787	0.0482819		
1	6680579	6682475	Zm00024ab002550	0.276008	0	0	0	0.0307238	0.286711	0.0683816	0		
1	6689319	6692738	Zm00024ab002560	705.16	62.5257	37.3984	66.4731	28.4002	27.2502	28.8014	53.9948		
1	6693830	6712246	Zm00024ab002570	100.257	4.477	2.77184	14.2049	9.28346	3.77862	11.6147	7.42622		
1	6802083	6806617	Zm00024ab002580	499.458	8.89913	1.39288	76.7155	3.35433	5.48688	4.79597	2.30153		
1	6809416	6812939	Zm00024ab002590	65.3742	13.4571	4.3096	9.01571	7.61616	7.80956	18.9451	9.81658		
1	6860402	6866615	Zm00024ab002600	90.5788	6.49094	4.1238	8.7952	8.11311	3.46606	22.9004	9.90946		
1	6930474	6933343	Zm00024ab002610	34.4802	5.19452	1.24877	11.6552	6.6	2.78578	17.2056	3.5516		
1	6935491	6939628	Zm00024ab002620	100.087	10.4602	5.87872	9.81823	13.3383	5.06037	30.4498	13.2022		
1	6948959	6951019	Zm00024ab002630	12.9563	4.10491	0.815129	0.319493	1.23014	4.48624	0.0839204	1.23642		
1	6951095	6956110	Zm00024ab002650	257.149	28.7551	15.4378	13.3506	22.013	20.9327	31.7576	36.933		
1	7021579	7023889	Zm00024ab002660	11.5547	105.63	38.0728	0.113972	3.50556	108.849	0	15.7999		
1	7025620	7039773	Zm00024ab002670	0.628868	0.00646191	0.0126606	0	0	0	0.0366596	0.00986514		
