"pan","B73","B97","CML103","CML228","CML247","CML277","CML322","CML333","CML52","CML69","HP301","Il14H","Ki11","Ki3","Ky21","M162W","M37W","Mo18W","Ms71","NC350","NC358","Oh43","Oh7B","P39","Tx303","Tzi8","median"
"pan_gene_100098",NA,NA,NA,357,NA,NA,357,357,NA,357,NA,NA,357,357,NA,357,357,NA,357,NA,357,357,357,NA,NA,357,357
"pan_gene_1001",921,921,921,921,921,921,921,NA,921,585,NA,921,921,921,921,921,921,921,921,921,921,921,921,921,NA,921,921
"pan_gene_100105",NA,438,NA,NA,441,NA,NA,NA,441,NA,528,NA,519,NA,438,441,441,441,441,NA,519,441,441,441,NA,441,441
"pan_gene_100109",NA,744,744,744,744,741,741,744,741,744,744,750,744,744,744,744,744,741,744,744,744,744,744,744,741,744,744
"pan_gene_10012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pan_gene_100126",NA,NA,NA,303,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,303,NA,NA,NA,NA,NA,NA,NA,303,303
"pan_gene_10013",1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
"pan_gene_100137",NA,NA,519,1077,NA,NA,312,339,NA,519,738,NA,NA,NA,NA,NA,NA,519,846,339,NA,339,339,891,339,519,519
"pan_gene_100147",NA,210,210,210,NA,NA,210,NA,210,NA,NA,210,210,210,210,210,210,210,NA,210,NA,210,210,210,NA,210,210
"pan_gene_100149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600
"pan_gene_10015",NA,1695,NA,NA,783,462,603,714,834,NA,NA,NA,633,NA,633,NA,NA,NA,603,NA,NA,351,1350,NA,672,918,672
"pan_gene_100153",NA,NA,NA,NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,1125,NA,NA,NA,NA,NA,NA,NA,NA,513,513
"pan_gene_100159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,390
"pan_gene_100163",NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,NA,NA,NA,NA,NA,792,NA,NA,792,792
"pan_gene_100166",NA,537,537,NA,390,NA,390,NA,NA,390,537,1026,NA,1245,NA,NA,390,390,1131,537,537,NA,NA,537,537,537,537
"pan_gene_100168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,324,324
"pan_gene_100169",NA,NA,837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837,837
"pan_gene_100170",NA,300,300,300,300,NA,300,NA,NA,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
"pan_gene_100171",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,519,240,447
"pan_gene_1002",705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705
"pan_gene_100201",NA,318,NA,501,NA,NA,NA,255,681,318,666,915,501,NA,NA,675,363,708,NA,NA,NA,723,318,684,NA,NA,583.5
"pan_gene_100202",NA,NA,NA,NA,228,177,NA,NA,NA,NA,177,NA,NA,228,462,177,267,NA,NA,NA,NA,228,177,NA,NA,177,202.5
"pan_gene_100235",NA,303,303,303,303,303,303,393,303,303,303,NA,303,303,303,303,393,303,303,303,303,303,303,375,303,204,303
"pan_gene_100236",NA,NA,NA,NA,NA,NA,480,1005,NA,480,NA,480,NA,NA,480,NA,NA,480,480,NA,NA,345,NA,480,480,480,480
"pan_gene_100238",NA,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,NA,300,300,300,300,300
"pan_gene_100244",NA,813,813,813,477,804,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,570,813,813,813,813,813
"pan_gene_100245",NA,780,NA,780,780,780,336,336,780,780,780,780,780,780,780,780,780,336,780,780,780,780,780,579,780,780,780
"pan_gene_100247",NA,699,NA,NA,321,NA,NA,699,354,NA,NA,582,NA,NA,594,699,NA,699,699,699,NA,594,459,699,552,594,594
"pan_gene_100250",NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,324,324
"pan_gene_100251",NA,267,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,267,NA,267,267
"pan_gene_100252",NA,NA,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,444,231,NA,NA,NA,NA,NA,NA,NA,NA,412.5
"pan_gene_100265",NA,372,NA,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,369,NA,NA,NA,NA,NA,NA,NA,426,NA,372,370.5
"pan_gene_100266",NA,1251,NA,NA,NA,NA,NA,NA,1251,NA,NA,NA,1251,NA,NA,1251,1251,NA,NA,1251,1311,1251,NA,1251,1251,1251,1251
"pan_gene_100276",NA,954,954,951,951,951,951,963,951,951,960,951,948,951,960,963,960,951,954,954,948,960,960,960,954,954,954
"pan_gene_100291",NA,543,522,651,507,327,531,555,621,522,327,327,327,NA,NA,507,321,NA,NA,NA,NA,NA,327,327,327,327,417
"pan_gene_100292",NA,867,861,864,864,867,861,867,873,867,864,864,873,873,864,861,864,867,864,861,855,861,861,864,867,864,864
"pan_gene_100293",NA,987,987,987,987,987,987,987,987,987,987,987,987,987,987,NA,987,987,987,987,987,987,987,987,987,987,987
"pan_gene_100296",NA,696,696,696,696,NA,696,696,696,696,696,696,696,696,NA,696,696,696,696,696,696,696,696,696,696,696,696
"pan_gene_1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pan_gene_100306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,NA,NA,NA,NA,NA,654,679.5
"pan_gene_100307",NA,1470,1596,1470,1596,1050,945,1596,1470,1470,1596,1470,1554,1548,1470,1596,1548,1470,1596,1470,1548,1596,1470,1470,1470,1470,1470
"pan_gene_100313",NA,210,210,210,NA,NA,NA,NA,210,210,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,210,210,210,NA,210,210,210
"pan_gene_100379",NA,702,654,501,702,501,447,702,702,366,702,702,495,495,702,702,495,702,495,702,495,321,702,NA,702,702,702
"pan_gene_100381",NA,NA,NA,531,NA,531,531,531,NA,531,531,531,531,531,531,531,531,NA,531,531,531,531,531,NA,NA,531,531
"pan_gene_100382",NA,432,435,NA,NA,432,435,432,435,NA,NA,435,435,NA,NA,435,435,435,NA,NA,NA,435,435,435,435,435,435
"pan_gene_100384",NA,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
"pan_gene_100391",NA,1215,1179,1215,NA,1215,1206,1314,1197,1206,1071,NA,1278,1197,1215,1314,1314,1215,1215,1314,1215,1215,1314,NA,1215,930,1215
"pan_gene_100398",486,NA,NA,1206,1272,570,903,NA,NA,486,609,876,1206,NA,1095,630,564,486,NA,933,1026,630,564,1206,NA,NA,753
"pan_gene_1004",288,NA,288,NA,288,NA,288,NA,NA,NA,288,288,NA,NA,288,288,291,288,NA,288,NA,NA,NA,NA,NA,NA,288
"pan_gene_100406",NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,309
"pan_gene_100421",NA,645,1101,1104,645,642,642,645,645,222,645,642,1104,645,645,645,1101,648,645,645,645,645,645,645,645,645,645
"pan_gene_100426",NA,1449,1482,1482,1482,1482,1482,1482,1482,1482,1449,1449,1482,1482,1449,1482,NA,1449,NA,1482,NA,1482,1239,1482,1482,1482,1482
"pan_gene_100428",NA,264,264,NA,264,264,264,264,261,261,NA,261,264,NA,264,264,264,261,261,NA,261,261,264,264,NA,264,264
"pan_gene_100429",NA,NA,NA,NA,237,240,243,243,240,330,348,327,NA,348,NA,NA,360,594,327,318,NA,240,360,360,240,240,322.5
"pan_gene_100433",NA,1089,1083,1089,1083,1083,1083,1089,1083,873,1083,1083,1083,1089,1083,1089,1083,1083,1083,1089,1089,1083,1083,1083,1083,1089,1083
"pan_gene_100440",NA,867,867,873,873,873,873,873,873,378,873,867,873,873,873,867,873,867,873,873,867,867,867,873,873,873,873
"pan_gene_100444",NA,747,NA,NA,738,744,747,753,747,174,747,738,NA,NA,NA,747,738,744,738,753,753,NA,747,738,NA,NA,747
"pan_gene_100465",NA,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954
"pan_gene_100467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,444,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,594,594
"pan_gene_100470",NA,1059,1062,1068,1071,1068,1068,NA,1068,1074,1062,1062,1068,1062,1071,1062,768,1071,NA,1056,1071,NA,1059,NA,1062,768,1062
"pan_gene_100497",NA,306,288,NA,309,NA,288,NA,306,288,NA,291,NA,NA,NA,NA,NA,288,NA,NA,288,NA,NA,NA,NA,333,289.5
"pan_gene_1005",NA,NA,978,972,NA,975,963,987,975,345,966,966,975,972,978,972,966,972,972,972,981,987,972,966,975,972,972
"pan_gene_100500",NA,423,423,423,423,423,423,423,423,NA,423,NA,387,423,423,NA,423,423,423,423,423,423,423,423,423,423,423
"pan_gene_100503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,483
"pan_gene_100506",NA,309,309,309,309,309,309,309,309,309,309,357,309,309,357,309,309,309,357,309,309,309,309,309,309,309,309
"pan_gene_100508",NA,1143,1143,1143,1143,NA,1143,1143,1143,1143,1143,1143,1143,1143,1140,1143,1143,1143,1143,1143,1143,1143,NA,1143,1143,1143,1143
"pan_gene_10053",1005,1005,1005,1005,1005,1005,1005,1005,1005,906,1005,1005,1005,1005,1005,1116,1005,1005,1005,1005,1116,1005,1005,1005,1005,633,1005
"pan_gene_100540",NA,825,822,825,837,825,822,825,822,825,837,825,822,822,825,825,825,825,825,NA,825,NA,822,825,822,822,825
"pan_gene_100574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,261,NA,NA,NA,807,NA,807,NA,261,306
"pan_gene_100593",NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,306
"pan_gene_100594",NA,NA,NA,NA,NA,498,NA,NA,498,498,498,498,NA,NA,498,NA,498,498,NA,NA,498,NA,498,NA,498,498,498
"pan_gene_100596",NA,NA,321,NA,NA,321,NA,NA,NA,321,321,NA,321,NA,321,321,321,321,NA,NA,NA,NA,321,321,NA,321,321
"pan_gene_1006",2556,2553,2553,2553,2556,2556,2553,2556,2553,2553,2553,2553,2556,2553,2553,2553,2553,2553,2556,2553,2553,2553,2553,2553,2562,NA,2553
"pan_gene_100603",NA,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513,NA,NA,NA,NA,NA,NA,NA,732,NA,NA,NA,NA,732
"pan_gene_100609",NA,336,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,336
"pan_gene_100618",NA,168,168,171,NA,NA,171,NA,NA,255,NA,NA,255,171,NA,NA,NA,255,NA,NA,NA,255,240,255,NA,168,205.5
"pan_gene_100619",NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,336,336,NA,336,357,NA,336,NA,NA,NA,336,NA,357,336
"pan_gene_100622",NA,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
"pan_gene_100633",NA,1221,NA,NA,NA,NA,NA,NA,NA,NA,567,NA,NA,NA,567,NA,NA,687,NA,NA,NA,NA,NA,NA,NA,363,567
"pan_gene_100634",NA,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,NA,2469,2469,2469,NA,2469,2469,2469,2469,2469,2469,2469
"pan_gene_100635",NA,174,174,354,174,276,354,354,354,174,NA,174,354,390,174,174,552,354,174,174,354,174,354,354,390,174,315
"pan_gene_100637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,396,402
"pan_gene_100638",NA,477,NA,NA,NA,NA,NA,NA,477,NA,NA,NA,NA,NA,477,477,NA,477,NA,477,477,477,NA,477,NA,477,477
"pan_gene_100639",NA,783,783,783,783,783,783,723,783,783,783,783,738,783,783,783,783,675,783,675,783,NA,783,783,783,783,783
"pan_gene_100646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,222
"pan_gene_100649",2961,2961,NA,2961,NA,NA,2973,NA,NA,NA,NA,NA,2973,NA,2961,2973,2961,NA,NA,NA,2979,2967,NA,2973,2967,NA,2967
"pan_gene_100663",3462,3462,3462,2982,NA,2982,NA,3462,3462,3462,3477,3462,3477,3477,3417,NA,3462,3462,NA,NA,NA,3462,3402,3462,2982,NA,3462
"pan_gene_100672",NA,954,951,951,957,957,951,954,957,684,954,951,951,951,951,954,948,960,951,951,942,579,954,951,951,951,951
"pan_gene_100690",NA,1149,1149,1155,1149,1149,1149,1152,1149,1149,1149,1149,1149,354,1152,1152,1149,1149,1149,1149,1149,1152,1152,1149,1149,1149,1149
"pan_gene_100693",NA,168,168,NA,168,168,168,408,NA,168,NA,168,NA,168,NA,NA,NA,NA,213,168,NA,168,NA,168,393,168,168
"pan_gene_100698",NA,435,NA,435,435,435,435,435,NA,435,435,435,435,435,435,435,435,435,435,NA,435,435,435,435,NA,435,435
"pan_gene_1007",3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186,3186
"pan_gene_100706",NA,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,321,432,432,432,432,432,432
"pan_gene_100708",NA,282,321,543,NA,NA,282,591,591,282,282,282,NA,282,282,NA,591,NA,NA,396,NA,NA,282,NA,NA,282,282
"pan_gene_100719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,324
"pan_gene_100728",NA,NA,NA,NA,750,777,NA,NA,828,NA,1848,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,1770,NA,NA,1815,828
"pan_gene_10073",2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
"pan_gene_100734",NA,NA,303,NA,NA,303,NA,NA,303,NA,303,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,303,NA,303,303,303
"pan_gene_100735",NA,261,NA,261,NA,NA,NA,369,NA,261,261,NA,261,261,NA,369,NA,NA,NA,NA,NA,261,261,NA,NA,261,261
"pan_gene_100736",NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,252,NA,252,NA,441,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,375
"pan_gene_10074",1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,2115,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899
"pan_gene_10075",486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486
"pan_gene_100750",NA,663,651,651,651,651,660,669,642,645,657,663,654,651,651,651,660,639,651,669,639,663,645,639,651,633,651
"pan_gene_10076",963,963,918,963,963,513,NA,963,NA,372,948,963,513,963,963,963,NA,963,963,771,NA,963,963,963,513,981,963
"pan_gene_10077",942,942,942,942,942,864,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942
"pan_gene_100786",NA,NA,327,NA,NA,NA,NA,387,NA,NA,NA,NA,549,NA,417,417,396,417,846,387,NA,NA,NA,339,417,417,417
"pan_gene_1008",2133,2133,1947,2247,2475,1506,2004,2004,2004,1758,2004,2133,2133,2004,2355,2133,2475,2133,2133,2004,2475,2475,2004,2475,2136,2475,2133
"pan_gene_10080",2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
"pan_gene_10081",804,804,804,834,834,873,801,873,837,834,834,873,834,804,873,873,804,876,801,783,873,801,1071,801,804,804,834
"pan_gene_100812",NA,2193,NA,342,NA,NA,2202,1275,NA,1797,1605,258,1833,NA,1767,NA,NA,1035,NA,1257,408,1362,1434,NA,NA,408,1362
"pan_gene_100813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,276
"pan_gene_100814",NA,NA,852,NA,921,921,468,NA,921,468,NA,NA,723,468,459,NA,459,921,921,468,468,468,915,756,888,468,723
"pan_gene_100815",NA,NA,NA,342,NA,NA,NA,NA,NA,231,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,231,231,NA,NA,231,231
"pan_gene_10082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pan_gene_100820",NA,825,825,939,825,825,825,825,825,825,825,NA,825,825,NA,825,825,825,825,384,825,825,825,825,825,825,825
"pan_gene_100825",NA,1344,1347,1353,1350,1347,1347,1341,1341,846,1341,1350,1341,1353,1362,1338,1353,1347,1344,NA,1338,1347,1347,1350,1344,1347,1347
"pan_gene_100841",NA,NA,NA,576,NA,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,568.5
"pan_gene_100846",NA,999,1002,981,1008,1011,1008,1008,996,990,996,1005,981,999,1008,1002,1005,1005,999,999,1008,996,999,1005,1005,999,1002
"pan_gene_100856",NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,453,403.5
"pan_gene_100859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609,609
"pan_gene_100865",NA,1158,1197,1200,1203,1197,1197,777,1158,1200,1203,1203,1200,NA,1203,1173,1158,1170,1200,1197,NA,1200,NA,1176,1200,1335,1198.5
"pan_gene_100869",NA,462,459,459,465,465,465,471,465,465,465,450,459,459,450,465,465,468,462,462,465,462,465,NA,474,462,465
"pan_gene_10087",438,438,441,471,471,438,438,438,438,438,438,441,438,438,444,441,438,438,438,438,441,438,438,438,441,438,438
"pan_gene_100870",NA,264,276,264,276,264,276,381,264,264,264,276,288,264,264,264,264,264,264,264,264,264,264,NA,264,264,264
"pan_gene_100881",NA,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
"pan_gene_100888",NA,432,480,480,480,225,480,432,480,255,NA,432,480,480,432,432,NA,246,432,480,480,432,480,432,480,480,480
"pan_gene_10089",1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
"pan_gene_100890",NA,1467,1467,1467,1467,1467,1467,684,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,684,1467,684,1467,1341,1467,1467,1467
"pan_gene_100895",NA,NA,NA,519,507,NA,507,NA,NA,NA,NA,495,NA,519,495,519,432,507,NA,NA,510,495,NA,495,NA,507,507
"pan_gene_100896",NA,414,NA,402,NA,NA,759,NA,NA,NA,534,NA,NA,NA,948,NA,NA,NA,NA,393,393,NA,NA,669,564,447,490.5
"pan_gene_100898",NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,312,312
"pan_gene_1009",2526,2526,2526,2526,2526,2526,2526,2526,2526,2523,2373,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526
"pan_gene_10090",510,402,1146,NA,957,393,894,402,444,402,402,957,402,402,1146,1146,1077,510,510,402,NA,402,402,636,NA,NA,477
"pan_gene_100926",NA,606,NA,606,606,606,NA,NA,675,294,NA,NA,399,432,699,NA,NA,753,294,327,294,NA,NA,606,NA,396,606
"pan_gene_100928",NA,402,NA,519,NA,NA,NA,804,204,NA,NA,828,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,942,661.5
"pan_gene_100929",NA,NA,NA,336,237,NA,237,237,237,NA,NA,237,237,237,237,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,237,237
"pan_gene_100930",NA,504,501,NA,NA,NA,504,369,NA,369,369,369,NA,504,NA,369,NA,504,369,NA,NA,NA,501,504,NA,369,435
"pan_gene_10095",804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
"pan_gene_100950",NA,NA,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,NA,NA,NA,NA,450,NA,NA,486,NA,NA,NA,NA,498,450
"pan_gene_100951",NA,306,NA,321,321,NA,321,321,NA,321,321,NA,321,NA,NA,318,NA,321,NA,321,NA,NA,NA,NA,321,321,321
"pan_gene_100953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,358.5
"pan_gene_100957",NA,885,885,885,894,897,894,897,897,885,894,885,885,885,885,894,885,885,885,885,885,885,885,885,885,885,885
"pan_gene_10096",924,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939
"pan_gene_10097",3141,3156,3141,3060,3141,3060,3138,3141,3141,3141,3141,3141,3141,3141,3141,3141,3138,3141,3141,3141,3141,3141,3141,3141,3138,3141,3141
"pan_gene_100970",NA,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
"pan_gene_100978",NA,NA,NA,348,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,348,NA,348,348,NA,NA,NA,NA,348,NA,348,348
"pan_gene_10098",651,651,648,648,651,648,651,651,648,645,651,651,651,651,645,651,651,651,651,651,648,648,651,648,648,651,651
"pan_gene_100983",NA,375,NA,NA,420,375,336,375,NA,NA,336,NA,375,NA,NA,NA,NA,NA,375,NA,NA,375,NA,NA,NA,336,375
"pan_gene_100985",NA,219,210,219,219,219,210,219,219,210,219,210,219,210,210,NA,210,210,210,219,219,219,NA,210,210,219,219
"pan_gene_100988",NA,354,384,NA,NA,NA,NA,NA,NA,NA,387,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,387
"pan_gene_10099",2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2670,2670,2670,2667,2664,2670,2664,2667,2667,2667
"pan_gene_100991",NA,NA,NA,NA,NA,NA,210,210,NA,NA,NA,210,NA,NA,NA,NA,210,NA,NA,210,210,210,NA,372,NA,429,210
"pan_gene_100994",1062,NA,NA,NA,NA,NA,NA,NA,1062,NA,1062,NA,NA,NA,NA,NA,855,1062,NA,NA,NA,NA,NA,NA,NA,NA,1062
"pan_gene_101",1050,1050,1050,1050,1050,1050,1050,1050,1050,768,1050,1050,1050,1050,1050,1050,1050,1056,1050,1050,1050,1050,1050,1050,1056,1050,1050
