gene,pan,class,copy
Zm00025ab007500,pan_gene_521,Core Gene,1
Zm00025ab007510,pan_gene_522,Dispensable Gene,1
Zm00025ab007530,pan_gene_523,Core Gene,1
Zm00025ab007540,pan_gene_524,Core Gene,1
Zm00025ab007550,pan_gene_525,Core Gene,1
Zm00025ab007560,pan_gene_526,Core Gene,1
Zm00025ab007570,pan_gene_527,Core Gene,1
Zm00025ab007580,pan_gene_528,Core Gene,1
Zm00025ab007600,pan_gene_529,Core Gene,1
Zm00025ab007610,pan_gene_530,Core Gene,1
Zm00025ab007620,pan_gene_531,Core Gene,1
Zm00025ab007630,pan_gene_532,Near-Core Gene,1
Zm00025ab007640,pan_gene_533,Dispensable Gene,1
Zm00025ab007650,pan_gene_534,Core Gene,1
Zm00025ab007660,pan_gene_535,Dispensable Gene,1
Zm00025ab007670,pan_gene_536,Core Gene,1
Zm00025ab007680,pan_gene_537,Core Gene,1
Zm00025ab007690,pan_gene_538,Core Gene,1
Zm00025ab007700,pan_gene_539,Core Gene,1
Zm00025ab007710,pan_gene_541,Core Gene,1
Zm00025ab007760,pan_gene_542,Core Gene,1
Zm00025ab007770,pan_gene_543,Core Gene,1
Zm00025ab007780,pan_gene_545,Core Gene,1
Zm00025ab007790,pan_gene_546,Core Gene,1
gmap_ID=chr1:22557909-22558469,pan_gene_547,Core Gene,1
gmap_ID=chr1:22702980-22721861,pan_gene_548,Core Gene,1
Zm00025ab007800,pan_gene_549,Core Gene,1
Zm00025ab007820,pan_gene_550,Core Gene,1
Zm00025ab007830,pan_gene_551,Core Gene,1
Zm00025ab007870,pan_gene_553,Core Gene,1
Zm00025ab007890,pan_gene_554,Core Gene,1
Zm00025ab007910,pan_gene_555,Core Gene,1
Zm00025ab007920,pan_gene_556,Core Gene,1
Zm00025ab007940,pan_gene_557,Core Gene,1
Zm00025ab007950,pan_gene_558,Core Gene,1
Zm00025ab007960,pan_gene_559,Core Gene,1
Zm00025ab007970,pan_gene_560,Core Gene,1
Zm00025ab007980,pan_gene_561,Core Gene,1
Zm00025ab007990,pan_gene_562,Core Gene,1
Zm00025ab008000,pan_gene_565,Core Gene,1
Zm00025ab008020,pan_gene_566,Core Gene,1
Zm00025ab008030,pan_gene_567,Core Gene,8
Zm00025ab008110,pan_gene_568,Core Gene,1
Zm00025ab008120,pan_gene_569,Core Gene,1
Zm00025ab008130,pan_gene_570,Core Gene,1
Zm00025ab008140,pan_gene_571,Core Gene,1
Zm00025ab008150,pan_gene_572,Core Gene,1
Zm00025ab008170,pan_gene_575,Core Gene,1
Zm00025ab008190,pan_gene_576,Core Gene,1
gmap_ID=chr1:24030635-24030951,pan_gene_577,Core Gene,1
Zm00025ab008220,pan_gene_578,Core Gene,1
Zm00025ab008230,pan_gene_579,Core Gene,1
Zm00025ab008260,pan_gene_581,Core Gene,1
Zm00025ab008270,pan_gene_582,Core Gene,1
Zm00025ab008280,pan_gene_583,Core Gene,1
Zm00025ab008290,pan_gene_584,Core Gene,1
Zm00025ab008300,pan_gene_585,Core Gene,1
Zm00025ab008310,pan_gene_586,Core Gene,1
